YYYY-MM-DD(DOY),planting_date,harvest_date,yield,used_biomass,irrig,precip
1980-09-10(254),1980130,1980254,15388.46289,0,384,121.825005
1981-08-27(239),1981130,1981239,16368.91602,0,376,132.75
1982-08-23(235),1982130,1982235,13301.2207,0,296,139.625
1983-08-28(240),1983130,1983240,16489.55078,0,320,142.625
1984-08-31(244),1984130,1984244,13787.7002,0,352,125.25
1985-08-13(225),1985130,1985225,13424.77832,0,384,49.024998
1986-08-17(229),1986130,1986229,14312.48535,0,384,44.799999
1987-08-24(236),1987130,1987236,14123.3418,0,336,110.200005
1988-08-27(240),1988130,1988240,14701.77051,0,400,70.200005
1989-08-30(242),1989130,1989242,14870.94043,0,384,122.725006
1990-08-23(235),1990130,1990235,13013.8584,0,336,209.699997
1991-08-28(240),1991130,1991240,14650.50684,0,336,137.199997
1992-08-14(227),1992130,1992227,13550.9541,0,272,166.474991
1993-08-30(242),1993130,1993242,17866.1582,0,320,179.900009
1994-08-18(230),1994130,1994230,13886.27539,0,376,77.325005
1995-08-28(240),1995130,1995240,15034.63672,0,352,74.5
1996-08-27(240),1996130,1996240,14559.42773,0,384,90.300003
1997-08-25(237),1997130,1997237,16117.01172,0,336,149.774994
1998-08-14(226),1998130,1998226,13046.94922,0,312,152.899994
1999-09-09(252),1999130,1999252,14432.71484,0,360,82.050003
2000-08-28(241),2000130,2000241,15099.58106,0,400,57.424999
2001-08-23(235),2001130,2001235,15866.76367,0,392,58.799999
2002-08-22(234),2002130,2002234,13698.40234,0,392,40.049999
2003-08-12(224),2003130,2003224,13012.73633,0,400,10.975
2004-08-15(228),2004130,2004228,13312.25195,0,352,111.325005
2005-08-22(234),2005130,2005234,15176.01953,0,368,95.449997
2006-08-14(226),2006130,2006226,13616.83496,0,352,85.900002
2007-08-15(227),2007130,2007227,13292.56055,0,360,51.075001
2008-08-18(231),2008130,2008231,15963.22559,0,408,66.950005
2009-08-13(225),2009130,2009225,13059.22754,0,368,50.074997
2010-08-30(242),2010130,2010242,14907.5293,0,392,156.449997
2011-08-30(242),2011130,2011242,16533.98242,0,440,123.324997
2012-08-17(230),2012130,2012230,13871.75,0,320,113.925003
2013-08-12(224),2013130,2013224,13004.92676,0,344,100.574997
2014-08-14(226),2014130,2014226,13270.83106,0,352,54.875
2015-08-04(216),2015130,2015216,12212.22559,0,344,57.150002
2016-08-18(231),2016130,2016231,13540.8584,0,336,93.774994
2017-08-12(224),2017130,2017224,13587.65918,0,408,47.674999
2018-08-11(223),2018130,2018223,16134.57422,0,416,39.849998
2019-08-13(225),2019130,2019225,14590.85254,0,392,93.300003
