YYYY-MM-DD(DOY),planting_date,harvest_date,yield,used_biomass,irrig,precip
1981-07-31(212),1980258,1981212,10589.4707,0,369.552887,346.949982
1982-07-29(210),1981258,1982210,8937.667969,0,389.367493,458.625
1983-07-25(206),1982258,1983206,9727.40918,0,342.042694,548.099976
1984-08-03(216),1983258,1984216,9333.15332,0,367.860626,449
1985-07-27(208),1984258,1985208,7832.006836,0,407.472839,223.550003
1986-07-30(211),1985258,1986211,8023.29248,0,429.532928,249.950012
1987-07-15(196),1986258,1987196,8720.053711,0,391.937469,289.524994
1988-07-22(204),1987258,1988204,9971.100586,0,347.039886,275.125
1989-07-27(208),1988258,1989208,9687.779297,0,398.055634,352.725006
1990-07-21(202),1989258,1990202,10064.52539,0,292.320404,368.625
1991-07-26(207),1990258,1991207,10120.98828,0,349.759308,284.175018
1992-07-07(189),1991258,1992189,8923.71582,0,406.910065,286.625
1993-08-06(218),1992258,1993218,9503.443359,0,327.667419,372.824982
1994-07-24(205),1993258,1994205,9941.849609,0,380.21698,261.274994
1995-07-20(201),1994258,1995201,10063.09277,0,390.923096,430.049988
1996-07-31(213),1995258,1996213,9583.253906,0,374.393372,354.149994
1997-08-08(220),1996258,1997220,9529.750977,0,331.053375,499.549988
1998-07-26(207),1997258,1998207,9059.033203,0,336.667419,504
1999-08-04(216),1998258,1999216,9859.875,0,444.972046,340.325012
2000-07-24(206),1999258,2000206,10269.21582,0,419.351746,264.774994
2001-08-03(215),2000258,2001215,9418.172852,0,431.7034,198.824997
2002-07-27(208),2001258,2002208,9054.194336,0,433.059479,266.350006
2003-07-22(203),2002258,2003203,9514.079102,0,414.748138,305.025024
2004-07-26(208),2003258,2004208,9766.050781,0,415.687134,304.049988
2005-07-23(204),2004258,2005204,10044.67285,0,363.586914,284.325012
2006-07-23(204),2005258,2006204,9098.462891,0,375.817291,444.400024
2007-07-25(206),2006258,2007206,9011.736328,0,420.180756,289.225006
2008-08-01(214),2007258,2008214,8933.947266,0,431.682648,272.875
2009-07-23(204),2008258,2009204,9422.600586,0,445.99353,265.549988
2010-07-25(206),2009258,2010206,10656.10449,0,342.744965,400.974976
2011-08-10(222),2010258,2011222,10052.21387,0,363.709351,403.975006
2012-07-31(213),2011258,2012213,9490.328125,0,358.450287,385.475006
2013-07-17(198),2012258,2013198,9461.579102,0,344.254395,367.924988
2014-07-20(201),2013258,2014201,9772.993164,0,404.52597,240.75
2015-07-01(182),2014258,2015182,9635.931641,0,343.176056,328.599976
2016-07-12(194),2015258,2016194,9923.104492,0,357.44162,395.375
2017-07-20(201),2016258,2017201,9365.825195,0,364.389099,430.599976
2018-07-22(203),2017258,2018203,9250.360352,0,402.916687,367.149994
2019-07-21(202),2018258,2019202,9705.515625,0,416.270294,280.549988
