YYYY-MM-DD(DOY),planting_date,harvest_date,yield,used_biomass,irrig,precip
1980-09-09(253),1980130,1980253,11813.36719,0,330,80.324997
1981-08-30(242),1981130,1981242,11119.98926,0,300,116.25
1982-08-26(238),1982130,1982238,9847.889648,0,240,69.75
1983-08-28(240),1983130,1983240,12115.31543,0,300,91.975006
1984-08-31(244),1984130,1984244,10069.06641,0,270,97.324997
1985-08-23(235),1985130,1985235,7712.772461,0,210,72.300003
1986-08-20(232),1986130,1986232,11156.93945,0,300,50.200001
1987-08-28(240),1987130,1987240,11352.62988,0,300,80.825005
1988-08-28(241),1988130,1988241,9968.348633,0,300,63.225002
1989-09-05(248),1989130,1989248,10972.44824,0,330,70.600006
1990-08-25(237),1990130,1990237,7634.922363,0,240,108.400002
1991-09-01(244),1991130,1991244,10785.10156,0,300,156.425003
1992-08-18(231),1992130,1992231,10382.55664,0,240,83.775002
1993-09-03(246),1993130,1993246,14009.10645,0,300,158.150009
1994-08-21(233),1994130,1994233,8605.393555,0,240,72.724998
1995-09-02(245),1995130,1995245,11777.22656,0,270,96.25
1996-08-28(241),1996130,1996241,10752.31836,0,300,77.200005
1997-08-24(236),1997130,1997236,12611.91992,0,330,63.225002
1998-08-22(234),1998130,1998234,9526.53125,0,270,79.824997
1999-08-30(242),1999130,1999242,11785.30469,0,360,30.9
2000-08-27(240),2000130,2000240,8763.862305,0,240,81.024994
2001-08-26(238),2001130,2001238,10463.40625,0,300,64.450005
2002-08-25(237),2002130,2002237,10942.26758,0,330,72.175003
2003-08-19(231),2003130,2003231,8858.876953,0,270,22.9
2004-08-21(234),2004130,2004234,9538.293945,0,270,111.5
2005-08-23(235),2005130,2005235,11267.06934,0,360,64.800003
2006-08-20(232),2006130,2006232,10137.55566,0,270,87.799995
2007-08-19(231),2007130,2007231,9716.932617,0,270,46.375
2008-08-25(238),2008130,2008238,8256.004883,0,240,79.900002
2009-08-20(232),2009130,2009232,10557.33106,0,300,75.899994
2010-09-05(248),2010130,2010248,9756.083008,0,300,111.100006
2011-09-10(253),2011130,2011253,11895.66113,0,360,100.800003
2012-08-28(241),2012130,2012241,10824.30078,0,270,102.174995
2013-08-21(233),2013130,2013233,8933.939453,0,240,77.200005
2014-08-17(229),2014130,2014229,10651.44141,0,330,50.25
2015-08-05(217),2015130,2015217,5909.680176,0,180,46.599998
2016-08-27(240),2016130,2016240,11672.60645,0,330,71.525002
2017-08-22(234),2017130,2017234,9282.505859,0,270,26.950001
2018-08-22(234),2018130,2018234,9878.321289,0,330,5.5
2019-08-28(240),2019130,2019240,11113.35742,0,330,64.974998
