YYYY-MM-DD(DOY),planting_date,harvest_date,yield,used_biomass,irrig,precip
1981-07-05(186),1980258,1981186,9379.30957,0,340,438.5
1982-07-14(195),1981258,1982195,8867.324219,0,440,434.125
1983-07-09(190),1982258,1983190,9183.512695,0,378.581787,477.774994
1984-07-16(198),1983258,1984198,9386.459961,0,359.324097,480.149994
1985-07-21(202),1984258,1985202,8000.95752,0,520,322.875
1986-07-21(202),1985258,1986202,8052.625488,0,480,395.524994
1987-07-07(188),1986258,1987188,7985.886719,0,460,347.375
1988-07-05(187),1987258,1988187,9009.512695,0,397.333954,304.25
1989-07-22(203),1988258,1989203,8441.114258,0,440,395.399994
1990-07-08(189),1989258,1990189,8869.250977,0,397.73349,318.150024
1991-07-12(193),1990258,1991193,9671.610352,0,380,419.225006
1992-06-24(176),1991258,1992176,8102.092773,0,420,292.774994
1993-07-28(209),1992258,1993209,8721.884766,0,359.246338,463.299988
1994-07-14(195),1993258,1994195,8152.139648,0,460,270.975006
1995-07-04(185),1994258,1995185,8968.960938,0,318.035614,502.075012
1996-07-13(195),1995258,1996195,9065.310547,0,359.76358,514.625
1997-07-21(202),1996258,1997202,8259.883789,0,419.266815,524.174988
1998-07-07(188),1997258,1998188,8874.030273,0,360,351.375
1999-07-07(188),1998258,1999188,9479.591797,0,437.165955,322.399994
2000-07-06(188),1999258,2000188,9274.950195,0,395.923859,429.424988
2001-07-22(203),2000258,2001203,8519.750977,0,459.725983,341.075012
2002-07-08(189),2001258,2002189,9235.186523,0,420,346.375
2003-07-06(187),2002258,2003187,9037.977539,0,397.189453,380.5
2004-07-10(192),2003258,2004192,9081.859375,0,418.417206,412.925018
2005-07-11(192),2004258,2005192,8970.077148,0,417.424927,281.850006
2006-07-10(191),2005258,2006191,9027.793945,0,374.410522,447.924988
2007-07-20(201),2006258,2007201,8252.413086,0,518.367859,370.050018
2008-07-19(201),2007258,2008201,9064.884766,0,480,335.475006
2009-07-14(195),2008258,2009195,8971.533203,0,440,407.974976
2010-07-16(197),2009258,2010197,9772.943359,0,417.521027,361.550018
2011-07-22(203),2010258,2011203,9853.663086,0,359.967987,538.450012
2012-07-15(197),2011258,2012197,9409.611328,0,340,466.075012
2013-07-05(186),2012258,2013186,9163.912109,0,380,382.474976
2014-07-11(192),2013258,2014192,9081.696289,0,480,357.075012
2015-06-14(165),2014258,2015165,8555.816406,0,379.084137,337.450012
2016-06-19(171),2015258,2016171,8308.466797,0,378.040009,349.325012
2017-07-12(193),2016258,2017193,9174.725586,0,400,474
2018-07-13(194),2017258,2018194,8546.616211,0,480,363.449982
2019-07-15(196),2018258,2019196,8874.481445,0,457.201996,424.300018
