YYYY-MM-DD(DOY),planting_date,harvest_date,yield,used_biomass,irrig,precip
1980-10-31(305),1980130,1980305,15054.80176,13350.48633,480,80.125
1981-11-01(305),1981130,1981305,15260.26953,13532.69336,480,106.299995
1982-11-01(305),1982130,1982305,17966.4082,15932.47754,506.892029,132.800003
1983-11-01(305),1983130,1983305,19256.51758,17076.53711,536.901489,75.099998
1984-10-31(305),1984130,1984305,11778.81641,10445.36621,420,81.200005
1985-11-01(305),1985130,1985305,12064.41895,10698.63672,420,97.175003
1986-11-01(305),1986130,1986305,16077.85254,14257.71973,540,71.025002
1987-11-01(305),1987130,1987305,14413.89844,12782.1377,510,36.024998
1988-10-31(305),1988130,1988305,15717.42969,13938.10059,540,39.900002
1989-11-01(305),1989130,1989305,15054.81641,13350.49902,510,56.150002
1990-11-01(305),1990130,1990305,10895.2168,9661.796875,390,126.574997
1991-11-01(305),1991130,1991305,14986.62988,13290.03223,540,101.099998
1992-10-31(305),1992130,1992305,13656.98828,12110.91504,479.835358,84.574997
1993-11-01(305),1993130,1993305,19451.30859,17249.27539,568.541077,60.474998
1994-11-01(305),1994130,1994305,13077.7041,11597.20996,510,106.324997
1995-11-01(305),1995130,1995305,16680.18945,14791.86816,480,91.399994
1996-10-31(305),1996130,1996305,12535.89941,11116.74316,450,74.424995
1997-11-01(305),1997130,1997305,15230.77441,13506.53809,479.044891,116.599998
1998-11-01(305),1998130,1998305,12510.45898,11094.18262,448.518524,85.800003
1999-11-01(305),1999130,1999305,12360.48242,10961.18359,450,41.424999
2000-10-31(305),2000130,2000305,16609.83789,14729.48047,540,45.899998
2001-11-01(305),2001130,2001305,12891.36523,11431.9668,510,64.549995
2002-11-01(305),2002130,2002305,15589.22656,13824.40918,539.477051,46.674999
2003-11-01(305),2003130,2003305,11130.92383,9870.820312,450,37.724998
2004-10-31(305),2004130,2004305,14269.7666,12654.32324,449.93631,110.475006
2005-11-01(305),2005130,2005305,14341.76758,12718.17285,540,66.299995
2006-11-01(305),2006130,2006305,13705.20801,12153.67676,510,80.674995
2007-11-01(305),2007130,2007305,12533.63965,11114.73828,450,69.599998
2008-10-31(305),2008130,2008305,15030.48731,13328.92383,510,61.75
2009-11-01(305),2009130,2009305,13496.65918,11968.73633,510,72.724998
2010-11-01(305),2010130,2010305,12973.99121,11505.23926,420,153.449997
2011-11-01(305),2011130,2011305,16416.75977,14558.26074,510,108.599998
2012-10-31(305),2012130,2012305,14085.18555,12490.6377,479.971924,106.574997
2013-11-01(305),2013130,2013305,12667.7041,11233.625,448.79718,147.449997
2014-11-01(305),2014130,2014305,10647.13086,9441.796875,390,90.225006
2015-11-01(305),2015130,2015305,11179.66309,9914.041992,450,43.349998
2016-10-31(305),2016130,2016305,14029.15625,12440.95117,480,149.900009
2017-11-01(305),2017130,2017305,11495.81348,10194.40137,450,47.624996
2018-11-01(305),2018130,2018305,14688.00195,13025.20996,540,39.349998
2019-11-01(305),2019130,2019305,16028.35742,14213.8291,479.420166,90.075005
