YYYY-MM-DD(DOY),planting_date,harvest_date,yield,used_biomass,irrig,precip
1981-07-14(195),1980258,1981195,10114.12988,0,540,168.950012
1982-07-28(209),1981258,1982209,8744.84082,0,580,228.699997
1983-07-21(202),1982258,1983202,9385.338867,0,560,319.225006
1984-07-27(209),1983258,1984209,9338.991211,0,540,250.425018
1985-07-29(210),1984258,1985210,6403.857422,0,560,144.300003
1986-07-28(209),1985258,1986209,7807.941895,0,580,183.400009
1987-07-17(198),1986258,1987198,7429.947266,0,560,166.5
1988-07-13(195),1987258,1988195,9202.144531,0,560,160.925003
1989-07-27(208),1988258,1989208,7647.078613,0,560,166.300003
1990-07-13(194),1989258,1990194,8837.394531,0,580,136.549988
1991-07-18(199),1990258,1991199,9775.22168,0,620,161.100006
1992-06-27(179),1991258,1992179,7663.435547,0,540,164.474991
1993-08-04(216),1992258,1993216,8593.367188,0,580,207.825012
1994-07-23(204),1993258,1994204,7381.865234,0,580,125.400009
1995-07-13(194),1994258,1995194,9078.742188,0,480,299.075012
1996-07-24(206),1995258,1996206,9318.040039,0,540,242.575012
1997-08-02(214),1996258,1997214,8372.756836,0,540,283.075012
1998-07-14(195),1997258,1998195,9008.208984,0,520,219.175003
1999-07-19(200),1998258,1999200,9182.248047,0,640,153.950012
2000-07-13(195),1999258,2000195,8874.47168,0,580,167.099991
2001-07-25(206),2000258,2001206,7524.19873,0,600,133.599991
2002-07-17(198),2001258,2002198,8901.876953,0,560,183.25
2003-07-14(195),2002258,2003195,8785.373047,0,520,203.949997
2004-07-16(198),2003258,2004198,8867.296875,0,520,190.449997
2005-07-18(199),2004258,2005199,8751.025391,0,580,134.825012
2006-07-21(202),2005258,2006202,8667.308594,0,500,286.875
2007-07-28(209),2006258,2007209,7171.170898,0,580,182.400009
2008-07-30(212),2007258,2008212,7501.860352,0,580,169.274994
2009-07-20(201),2008258,2009201,8101.087402,0,560,174.675003
2010-07-26(207),2009258,2010207,9391.088867,0,540,213.125
2011-08-01(213),2010258,2011213,10453.29883,0,600,247.824997
2012-07-23(205),2011258,2012205,9194.168945,0,560,192.774994
2013-07-10(191),2012258,2013191,8785.373047,0,540,220.225006
2014-07-20(201),2013258,2014201,8446.935547,0,640,138.349991
2015-07-01(182),2014258,2015182,7944.812012,0,580,174.25
2016-07-16(198),2015258,2016198,9094.995117,0,560,231.274994
2017-07-24(205),2016258,2017205,8705.839844,0,500,305.75
2018-07-24(205),2017258,2018205,7546.969727,0,620,160.925003
2019-07-30(211),2018258,2019211,7462.73291,0,580,192.849991
